Gene WormBase ID	of CLASH identified piRNA target sites
WBGene00000426	12
WBGene00000427	0
WBGene00000428	0
WBGene00000429	1
WBGene00000430	0
WBGene00000431	0
WBGene00000432	0
WBGene00000433	2
WBGene00000434	0
WBGene00000435	0
WBGene00000436	0
WBGene00000437	0
WBGene00000438	0
WBGene00000439	0
WBGene00000440	0
WBGene00000441	0
WBGene00000442	0
WBGene00000443	35
WBGene00000444	0
WBGene00000445	0
WBGene00000446	1
WBGene00000447	0
WBGene00000448	0
WBGene00000449	0
WBGene00000450	0
WBGene00000451	0
WBGene00000452	0
WBGene00000453	1
WBGene00000454	0
WBGene00000455	0
WBGene00000457	0
WBGene00000458	0
WBGene00000459	14
WBGene00000460	22
WBGene00000461	0
WBGene00000462	4
WBGene00000463	0
WBGene00000464	9
WBGene00000465	93
WBGene00000466	6
WBGene00000467	26
WBGene00000468	0
WBGene00000469	3
WBGene00000472	31
WBGene00000473	51
WBGene00000474	56
WBGene00000475	16
WBGene00000476	0
WBGene00000477	1
WBGene00000478	1
WBGene00000479	80
WBGene00000480	11
WBGene00000481	0
WBGene00000482	3
WBGene00000483	0
WBGene00000484	0
WBGene00000485	3
WBGene00000487	0
WBGene00000488	0
WBGene00000490	0
WBGene00000491	6
WBGene00000492	1
WBGene00000493	0
WBGene00000496	57
WBGene00000497	20
WBGene00000498	12
WBGene00000499	23
WBGene00000500	8
WBGene00000501	0
WBGene00000502	9
WBGene00000503	1
WBGene00000506	3
WBGene00000507	10
WBGene00000508	14
WBGene00000509	7
WBGene00000510	0
WBGene00000511	0
WBGene00000512	3
WBGene00000513	1
WBGene00000514	8
WBGene00000515	0
WBGene00000516	0
WBGene00000517	13
WBGene00000518	19
WBGene00000519	5
WBGene00000520	10
WBGene00000521	0
WBGene00000522	0
WBGene00000523	0
WBGene00000524	0
WBGene00000525	0
WBGene00000526	0
WBGene00000527	0
WBGene00000528	0
WBGene00000529	0
WBGene00000530	11
WBGene00000531	0
WBGene00000532	23
WBGene00000533	9
WBGene00000534	23
WBGene00000535	1
WBGene00000536	12
WBGene00000537	3
WBGene00000539	0
WBGene00000540	1
WBGene00000541	0
WBGene00000542	21
WBGene00000543	43
WBGene00000544	4
WBGene00000545	16
WBGene00000546	7
WBGene00000547	15
WBGene00000548	12
WBGene00000549	60
WBGene00000550	34
WBGene00000551	0
WBGene00000552	22
WBGene00000553	1
WBGene00000554	12
WBGene00000555	0
WBGene00000556	0
WBGene00000557	0
WBGene00000558	1
WBGene00000559	0
WBGene00000560	0
WBGene00000561	0
WBGene00000562	0
WBGene00000563	0
WBGene00000564	13
WBGene00000565	19
WBGene00000566	5
WBGene00000567	22
WBGene00000583	0
WBGene00000584	0
WBGene00000585	19
WBGene00000591	5
WBGene00000592	22
WBGene00000593	7
WBGene00000594	6
WBGene00000596	4
WBGene00000597	10
WBGene00000598	3
WBGene00000599	7
WBGene00000601	9
WBGene00000602	8
WBGene00000603	4
WBGene00000606	8
WBGene00000608	15
WBGene00000609	16
WBGene00000610	2
WBGene00000611	6
WBGene00000612	0
WBGene00000613	1
WBGene00000614	5
WBGene00000615	31
WBGene00000616	8
WBGene00000617	7
WBGene00000618	0
WBGene00000620	9
WBGene00000621	3
WBGene00000622	2
WBGene00000623	0
WBGene00000624	0
WBGene00000625	4
WBGene00000626	3
WBGene00000627	4
WBGene00000628	3
WBGene00000629	0
WBGene00000630	0
